Musteri_ID,telefon,Ad_Soyad,Cinsiyet,Yas_Grubu,Magaza_Tipi,Mevsim,Hafta_Ici_Hafta_Sonu,Islem_Saati_Dilimi,Sadakat_Puani,Promosyon_Hassasiyeti_Skoru,Gecen_Gun_Sayisi,Coklu_Kategori_Alim_Skoru,Sepet_Tutari_TL,Makyaj_Alisveris_Sayisi,Gecen_Gun_Makyaj,Makyaj_Ort_Alim_Araligi,Makyaj_Tuketim_Orani,Cilt_Bakimi_Alisveris_Sayisi,Gecen_Gun_Cilt_Bakimi,Cilt_Bakimi_Ort_Alim_Araligi,Cilt_Bakimi_Tuketim_Orani,Agiz_Bakimi_Alisveris_Sayisi,Gecen_Gun_Agiz_Bakimi,Agiz_Bakimi_Ort_Alim_Araligi,Agiz_Bakimi_Tuketim_Orani,Parfum_Alisveris_Sayisi,Gecen_Gun_Parfum,Parfum_Ort_Alim_Araligi,Parfum_Tuketim_Orani,Sac_Bakimi_Alisveris_Sayisi,Gecen_Gun_Sac_Bakimi,Sac_Bakimi_Ort_Alim_Araligi,Sac_Bakimi_Tuketim_Orani,Vucut_Bakimi_Banyo_Alisveris_Sayisi,Gecen_Gun_Vucut_Bakimi_Banyo,Vucut_Bakimi_Banyo_Ort_Alim_Araligi,Vucut_Bakimi_Banyo_Tuketim_Orani,El_Ayak_Bakimi_Alisveris_Sayisi,Gecen_Gun_El_Ayak_Bakimi,El_Ayak_Bakimi_Ort_Alim_Araligi,El_Ayak_Bakimi_Tuketim_Orani,Gunes_Bronzlasma_Alisveris_Sayisi,Gecen_Gun_Gunes_Bronzlasma,Gunes_Bronzlasma_Ort_Alim_Araligi,Gunes_Bronzlasma_Tuketim_Orani,Aksesuar_Guzellik_Aletleri_Alisveris_Sayisi,Gecen_Gun_Aksesuar_Guzellik_Aletleri,Aksesuar_Guzellik_Aletleri_Ort_Alim_Araligi,Aksesuar_Guzellik_Aletleri_Tuketim_Orani,Erkek_Bakim_Alisveris_Sayisi,Gecen_Gun_Erkek_Bakim,Erkek_Bakim_Ort_Alim_Araligi,Erkek_Bakim_Tuketim_Orani,Onerilen_Kategori,Onerilen_Urun,Teklif_Kabul
MST-00001,05557423388,Elif Yılmaz,Kadın,25-34,AVM,Kış,0,Öğle,3907,0.61,25,0.53,2424.58,3,81,34,2.38,3,57,50,1.14,2,50,38,1.32,4,8,45,0.18,4,48,28,1.71,0,0,0,0.0,3,14,57,0.25,0,0,0,0.0,3,56,56,1.0,0,0,0,0.0,Güneş & Bronzlaşma,Yüz Güneş Kremi,1
MST-00002,05557550634,Onur Öztürk,Erkek,25-34,AVM,Yaz,0,Sabah,4214,0.9,12,0.64,3884.66,0,0,0,0.0,3,79,15,5.27,3,14,50,0.28,0,0,0,0.0,3,88,47,1.87,1,31,0,0.0,3,61,24,2.54,1,15,0,0.0,2,22,31,0.71,2,72,28,2.57,Erkek Bakım,Tıraş Sonrası Losyon,1
MST-00003,05443234489,Sümeyye Şahin,Kadın,35-49,AVM,İlkbahar,1,Öğle,4079,0.2,115,0.99,3828.67,7,59,58,1.02,4,57,45,1.27,5,35,41,0.85,2,2,31,0.06,0,0,0,0.0,0,0,0,0.0,2,21,24,0.88,0,0,0,0.0,1,45,0,0.0,0,0,0,0.0,Makyaj,Ruj,1
MST-00004,05358204212,Elif Kurt,Kadın,25-34,Cadde,Kış,0,Akşam,312,0.74,97,0.16,1094.9,0,0,0,0.0,1,3,0,0.0,3,63,28,2.25,3,6,30,0.2,1,32,0,0.0,2,20,22,0.91,5,29,39,0.74,1,42,0,0.0,1,15,0,0.0,0,0,0,0.0,Makyaj,Kapatıcı,0
MST-00005,05425472471,Zeynep Özkan,Kadın,35-49,AVM,İlkbahar,1,Öğle,162,0.23,73,0.2,2514.83,0,0,0,0.0,4,29,59,0.49,5,19,51,0.37,2,32,21,1.52,2,24,59,0.41,2,11,18,0.61,0,0,0,0.0,2,68,39,1.74,4,79,35,2.26,0,0,0,0.0,Parfüm,Vücut Spreyi (Body Mist),1
MST-00006,05355523669,Gamze Kaya,Kadın,18-24,Cadde,Kış,1,Akşam,1528,0.15,65,0.85,3559.69,3,88,15,5.87,4,88,51,1.73,1,73,0,0.0,1,19,0,0.0,0,0,0,0.0,0,0,0,0.0,2,9,29,0.31,0,0,0,0.0,3,61,58,1.05,1,85,0,0.0,Makyaj,Aydınlatıcı,1
MST-00007,05445981505,Ayşe Demir,Kadın,35-49,AVM,Kış,0,Akşam,4388,0.22,56,0.12,3920.9,1,74,0,0.0,5,45,33,1.36,3,59,34,1.74,2,18,42,0.43,0,0,0,0.0,5,39,15,2.6,0,0,0,0.0,1,67,0,0.0,5,89,36,2.47,0,0,0,0.0,Saç Bakımı,Saç Bakım Yağı,0
MST-00008,05425521373,Can Öztürk,Erkek,35-49,Cadde,Yaz,1,Akşam,4785,0.96,50,0.51,1260.06,1,43,0,0.0,5,87,15,5.8,4,82,42,1.95,2,89,20,4.45,0,0,0,0.0,5,6,29,0.21,0,0,0,0.0,1,87,0,0.0,4,58,27,2.15,7,23,23,1.0,Ağız Bakımı,Ağız Çalkalama Suyu,1
MST-00009,05524344769,Ceren Şimşek,Kadın,18-24,Cadde,Sonbahar,0,Öğle,1565,0.5,87,0.8,2299.34,9,18,40,0.45,4,73,45,1.62,0,0,0,0.0,1,40,0,0.0,2,23,32,0.72,2,64,33,1.94,4,62,36,1.72,4,69,37,1.86,5,43,41,1.05,0,0,0,0.0,Vücut Bakımı & Banyo,Vücut Losyonu,1
MST-00010,05422262752,Ayşe Kurt,Kadın,25-34,Cadde,Sonbahar,1,Öğle,4768,0.14,28,0.28,2433.87,1,24,0,0.0,1,2,0,0.0,3,65,23,2.83,1,60,0,0.0,1,47,0,0.0,5,63,41,1.54,5,57,50,1.14,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,Vücut Bakımı & Banyo,Vücut Peelingi,1
